canon powershot g3[+3]##i recently purchased the canon powershot g3 and am extremely satisfied with the purchase .,p
"use[+2]##the camera is very easy to use , in fact on a recent trip this past week i was asked to take a picture of a vacationing elderly group .",p
picture[+2]##they fired away and the picture turned out quite nicely . ( as all of my pictures have thusfar ) .,p
picture quality[+1]##a few of my work constituants owned the g2 and highly recommended the canon for picture quality .,p
picture quality[+1]##i 'm easily enlarging pictures to 8 1/2 x 11 with no visable loss in picture quality and not even using the best possible setting as yet ( super fine ) .,p
"camera[+2], use[+2], feature[+1]##bottom line , well made camera , easy to use , very flexible and powerful features to include the ability to use external flash and lense / filters choices .",p
"picture quality[+3], use[+1], option[+1]##i 'd highly recommend this camera for anyone who is looking for excellent quality pictures and a combination of ease of use and the flexibility to get advanced with many options to adjust if you like .",p
"camera[+2]##this is my first digital camera , and what a ' toy ' it is !",p
"picture[+2]##just a little overview , powershot g3 is the flagship of canon 's powershot series and its an slr-like camera , its 4 megapixel and ( alsmost ) full manual control gives the pictures a touch of brilliance .",p
"use[+1]##whether you are a novice or an expert , its ease of use and functionality goes together .",p
dial[-1]##* main dial is not backlit .,n
viewfinder[-2]##* lens visible in optical viewfinder .,n
camera[+2][p]##overall i 'm happy with my toy .,p
"camera[+3]##in a word , "" awesome "" is how i would describe this camera .",p
"speed[+2],picture quality[+2],function[+2]##i wo n't go into the details here , as the online sites ( stevesdigicams , dpreviews ) go into great depth in their reviews , but i am very pleased with the features , the speed , the picture quality , the flexibility , the automation , and the functional conveniences this camera offers .",p
"auto setting[+2]##with the automatic settings , i really have n't taken a bad picture yet .",p
"camera[+3]##i am absolutely in awe of this camera , canon put enormous quality into the g3 .",p
canon g3[+3]##i bought my canon g3 about a month ago and i have to say i am very satisfied .,p
photo quality[+2]##i have taken hundreds of photos with it and i continue to be amazed by their quality .,p
"feature[+2]##the g3 is loaded with many useful features , and unlike many smaller digital cameras , it is easy to hold steady when using slower shutter speeds .",p
"viewfinder[-1]##the lens is visible in the viewfinder when the lens is set to the wide angle , but since i use the lcd most of the time , this is not really much of a bother to me .",n
"camera[+2]##despite this minor disappointment , i highly recommend the canon g3 anyone who is serious about digital photography .",p
camera[+2]##i have only had this camera for one full day and i have to say that it is wonderful .,p
photo quality[+3]##the photo quality is amazing and i know i 'm going to have fun with all the features .,p
"darn diopter adjustment dial[-1]##the reason i rated it a four is because of that darn diopter adjustment dial. its very small and hard to turn so you can 't get an accurate adjustment ( for those of you who do n't know what a diopter adjustment is , it is to adjust the focus of the viewfinder to your eyesight . )",n
"exposure control[+2],auto setting[+2]##1 ) slr like programming and exposure control gives you latitude to be creative , yet its progam and auto exposure settings provide excellent photos if you do n't want to bother with the settings .",p
metering option[+2]##excellent range of metering options as well .,p
spot metering[+1]##it 's great to switch to spot metering and actually see it working on the lcd screen .,p
4mp[+1]##2 ) 4mp is about right for the target market of this camera ( semi-serious amateur photographer ),p
zoom[+1]##3 ) 4x zoom is nice,p
focus[+2]##5 ) its focusing system is also very flexible .,p
"focus[+2]##you can move the focus range to almost anywhere in the scene with the push of a button , and it has an on-screen manual focus mode that would be really helpful if shooting a scene that is tough to automatically focus .",p
"size[-2][u],weight[-2][u]##1 ) quite bulky ( it 's about the same size as my minolta vectis s-1 aps slr ) and uses a heavy battery , although not very solid as it is contructed mostly of plastic ( unlike canon 's elph line )",n
design[-2][u]##2 ) not very ergonomical - you 'll find even for a point-and-shoot lens ),n
viewfinder[-2]##4 ) the viewfinder is borderuer lcd scoying .,n
"feature[+2], ##the camera has a wonderful set of features .",p
lcd[+2]##the lcd screen pulls out and rotates in any direction for easy pictures .,p
"optical zoom[+2],digital zoom[+1]##the optical zoom works great and the 14x digital zoom is a very nice addition although pictures at the highest digital zoom are a little blurry .",p
picture[+3]##the highest optical zoom pictures are perfect .,p
"picture[+3]##i have not yet seen any of the usual problems with digital pictures ( purple fringing , etc ) so i am very pleased .",p
"software[+2]##the canon computer software used to download , sort , upload and manage your digital pictures on the computer is very nice and very easy to use .",p
"lens cap[-1],viewfinder[-1]##the only two minor issues i have with the camera are the lens cap ( it is not very snug and can come off too easily ) and the lens itself ( it partially obstructs the view through the viewfinder but not views through the lcd ) .",n
"menu[+1],button[+1]##the menus are easy to navigate and the buttons are easy to use .",p
camera[+3]##it is a fantastic camera and well worth the price .,p
camera[+3]##recent price drops have made the g3 the best bargain in digital cameras currently available .,p
control[+2]##advanced photobugs will find more creative control than imaginable .,p
auto setting[+2]##newbies will find the full auto setting will give them perfect pictures right out of the box .,p
photo quality[+3]##4 megapixels is enough for anybody and the photo quality is awesome .,p
use[+2][u]##those used to 35mm cameras will find the g3 very comfortable and friendly to use .,p
"zoom[+2],lense[+2]##the extended zoom range and faster lense put it at the top of it 's class .",p
camera[+3]##i recommend unreservedly the powershot g3 to any potential buyer looking for a first-class digital camera at a reasonable price - there is no better camera out there - period !,p
"picture[+3], control[+2], battery[+2], software[+2]##it gives great pictures , the controls are easy to use , the battery lasts forever on one single charge , the software is very user-friendly and it is beautiful in it chrome casing .",p
"photo quality[+2], auto mode[+2]##i began taking pics as soon as i got this camera and am amazed at the quality of photos i have took simply by using the auto mode .",p
"canera[+2]##this camera has canon 's great colorimetry , plus what you see in the lcd is what you get .",p
print[+2]##the prints are beautiful !,p
"battery[+1]##although canon 's batteries are proprietary , they last a really long time , recharge fairly quickly in the camera , plus if you want ' more power ' , you can even find a knockoff charger and spare batteries right here on amazon .",p
camera[+2]##this is a great camera for you !,p
"control[+2],auto mode[+2]##the canon g3 gives tons of control for photo buffs but still has an "" auto "" mode that makes it very easy for the novice to use .",p
"control[+2]##i love having the option to manually control the f-stop , shutter speed and even focus .",p
"photo[+3]##i was able to take great photos of the 4th of july fire works , and got some amazing shots of the kids playing with sparklers .",p
"control[+2]##but if you 've used a slr 35mm camera , the controls are very intuitive !",p
"dial[+1]##with a quick spin of the dial you can select shutter priority ( for high speed subjects ) , aperture priority ( for focal length ) or full program mode where the camera selects both for ideal photo quality .",p
manual mode[+2]##the manual mode is easy to use with fast access for the selection of shutter speed and aperture without having to fumble through menu options .,p
"feel[+2],weight[+2]##this camera also has a great feel and weight to it .",p
"feel[+2]##you feel like you are holding something of substance , not some cheap plastic toy .",p
"camera[+2][p]##the more i work with it , the more i love it !",p
camera[+3][u]##i did n't think i would find this quality and ease of use for under $ 1500 - i 'm thrilled with my purchase !,p
"camera[+3]##this is my first digital camera , and i am very pleased with it .",p
"camera[+2][u]##seriously , this thing has everything that a pro or expert amateur could want .",p
"picture[+2], auto mode[+2]##but at the same time , it takes wonderful pictures very easily in "" auto "" mode , so that even an average joe like me can use it !",p
four megapixel[+1]##four megapixels is great .,p
product[+3][u]##it is a very amazing product .,p
camera[+3][p]##i highly recommend it .,p
feature[+2]##just received this camera two days ago and already love the features it has .,p
photo[+2]##takes excellent photos .,p
night mode[+2]##night mode is clear as day .,p
"use[+1][u]##i have not played with all the features yet , but the camera is easy to use once you get used to it .",p
viewfinder[-1]##the only drawback is the viewfinder is slightly blocked by the lens .,n
camera[+3]##overall it is the best camera on the market .,p
"picture quality[+3]##a ) the picture quality ( color and sharpness of focusing ) are so great , it completely eliminated my doubt about digital imaging --- how could one eat rice one grain at a time : - ) )",p
"lens cover[-2]##b ) the lens cover is surely loose , i already accidently finger-printed the len a few times , and au lens tigt and cause potential damage .",n
"zooming lever[-2]##the zooming lever is shaky , i hope it does not operate mechanically , otherwise you 'll feel uneasy .",n
camera[+2]##i love this camera .,p
picture[+2]##took hundreds of pictures and they were great .,p
"color[+2],picture[+2],white balance[+2]##great colors , pictures and white balance .",p
optical zoom[+1]##has 4x optical zoom which is higher than any other in the same price range .,p
"picture[-3][u]##maybe it is my lack of experience , but i found shots with this camera very disappointing .",n
price[-3][u]##it was ( i sold it after a few months ) too expensive for the shots that i got .,n
"camera[-2][u]##sure it had all the features , but when i tried to shoot a girl 's basketball game it just wan't up to the task .",n
camera[-3]##i found that low light situations combined with any sort of action left this camera in the dust .,n
grain[-3]##the grain was terrible .,n
"flash photo[-3],noise[-2]##well flash photos are never great , and there was still a lot of noise .",n
"photo[+3]##when i took outdoor photos with plenty of light and the objects were n't moving , the photos were awesome .",p
camera[+1]##the camera was a marvel .,p
