"there is much which has been said in other reviews about the features of this phone , it is a great phone , mine worked without any problems right out of the box .", P
"after several years of torture in the hands of at&t customer service i am delighted to drop them , and look forward to august 2004 when i will convert our other 3 family-phones from at&t to t-mobile !",n
"i have had the phone for 1 week , the signal quality has been great in the detroit area ( suburbs ) and in my recent road trip between detroit and northern kentucky ( cincinnati ) i experienced perfect signal and reception along i-75 , far superior to at &#38; t 's which does not work along several long stretches on that same route .",p
"my favorite features , although there are many , are the speaker phone , the radio and the infrared .",p
"the speaker phone is very functional and i use it in the car , very audible even with freeway noise .",p
"the infrared is a blessing if you have a previous nokia and want to transfer your old phone book to this phone , saved me hours of re-entering my numbers .",p
the day finally arrived when i was sure i 'd leave sprint .,p
"after years with that carrier 's expensive plans and horrible customer service , portability seemed heaven-sent .",n
"here 's the brief synopsis : the phone is tiny , cute , feels kind of "" plastic-like "" ( as if it might break ) , but seems pretty sturdy .",p
"it has lots of little cute features , my favorite being the games and the pim ( personal information manager -- i.e. organizer ) , and the radio !",p
"i spent hours setting up the stations ( accepts about 13-14 , i believe ) , though the reception is unpredictable .",n
the headset that comes with the phone has good sound volume but it hurts the ears like you cannot imagine !,p
"the phone comes with okay ringtones , some decent backgrounds / screensavers , but the phone has very little memory ( mine had 230kb as it arrived from amazon , so you do n't have too many options on what you can put on there ) .",p
the colors on the screen are not as crisp as i 'd have liked them to be .,n
"the backlight on the phone goes off way too quickly ( dangerous when you 're driving at night ) , and there 's no way to change this --",n
"the buttons on the phone are small , even for my small fingertips , but you get used to them rather quickly .",n
"the menu options are uncreative , as you can 't see a full screen of menu items to pick from ; you have to scroll up and down to find what you 're looking for ( yes , this is minor , but not when you 're trying to keep your eye on the road ! ) .",n
the volume .,n
i have excellent hearing but the volume level on this phone is especially quiet .,n
"on the up-side , the phone has amazing battery life .",p
"i do like this phone overall ( would give it a 3.5 ) , but unforutnately , i am returning it .",p
"i assumed they had exceptional service , but their reception in my area ( los angeles ) is horrendous .",n
"also , their t-zones , although cheap ( $ 4.99 / mo. ) never works .",n
"since i received the phone , i spent countless hours on the phone with customer service reps who promised t-zones would work "" in 24 hours "" .",n
"i must have heard this about a dozen times over the span of 2 weeks , when t-zones never worked .",n
"apparently , t-mobile is heavily back-logged and can 't keep up with demands .",n
"in all fairness , customer reps are very nice , and they ( most of them ) try hard to answer your questions .",p
"t-mobile is trying very hard , and again -- they do have pretty good csr 's .",p
"however , the calls constantly drop in my area and i experince mega-static , to the point where i 'd have to dial numbers 6-7 times to get a clear line .",p
"i 'm staying with sprint , and though i fear that their csr is n't nearly as good as t-mobile 's , the clarity of their reception is exceptional .",p
"while i like the performance of the phone in every regard , i would buy another one solely upon the apparent indestructibility of it .",p
 highly recommend a nokia 6610 .,p
no other color phone has the combination of features that the 6610 offers .,p
"from the speakerphone that can be used up to 15 feet away with clarity , to the downloadable poly-graphic megatones that adds a personal touch to this nifty phone .",p
"whether you 're taking a brisk jog , waiting for a bus or just having lunch at the park , you 'll be glad you had the fm radio .",p
i treat the battery well and it has lasted .,p
he volume level of the phone is not all that good .,n
"some of the higher pitched rings are very easy to hear , but not easy to listen to .",n
the more subtle tones that were included with the phone are hard to hear at times .,n
the vibration is not top .,n
overall this has been my favorite phone that i have owned .,p
"great battery life , perfect size , but a tid bit quieter than i would like .",p
